gid_0,name_0,un_region,wb_region,bws_cat_0_4,drr_cat_0_4,rfr_cat_0_4
PRY,Paraguay,Americas,Latin America & Caribbean,0.0,2.0,1.0
QAT,Qatar,Asia,Middle East & North Africa,4.0,-9999.0,0.0
ROU,Romania,Europe,Europe & Central Asia,1.0,3.0,2.0
RUS,Russia,Europe,Europe & Central Asia,1.0,2.0,1.0
RWA,Rwanda,Africa,Sub-Saharan Africa,0.0,3.0,4.0
SAU,Saudi Arabia,Asia,Middle East & North Africa,4.0,-9999.0,0.0
SDN,Sudan,Africa,Sub-Saharan Africa,1.0,-9999.0,3.0
SEN,Senegal,Africa,Sub-Saharan Africa,2.0,0.0,3.0
SGP,Singapore,Asia,East Asia & Pacific,-9999.0,-9999.0,-9999.0
SLB,Solomon Islands,Oceania,East Asia & Pacific,-9999.0,-9999.0,-9999.0
SLE,Sierra Leone,Africa,Sub-Saharan Africa,0.0,1.0,4.0
SLV,El Salvador,Americas,Latin America & Caribbean,1.0,2.0,2.0
SMR,San Marino,Europe,Europe & Central Asia,4.0,-9999.0,0.0
SOM,Somalia,Africa,Sub-Saharan Africa,1.0,2.0,4.0
SRB,Serbia,Europe,Europe & Central Asia,1.0,3.0,2.0
SSD,South Sudan,Africa,Sub-Saharan Africa,1.0,1.0,4.0
STP,SÃ£o TomÃ© and PrÃ­ncipe,Africa,Sub-Saharan Africa,-9999.0,-9999.0,-9999.0
SUR,Suriname,Americas,Latin America & Caribbean,1.0,1.0,4.0
SVK,Slovakia,Europe,Europe & Central Asia,1.0,3.0,1.0
SVN,Slovenia,Europe,Europe & Central Asia,0.0,2.0,1.0
SWE,Sweden,Europe,Europe & Central Asia,0.0,1.0,2.0
SWZ,Swaziland,Africa,Sub-Saharan Africa,0.0,2.0,2.0
SYC,Seychelles,Africa,Sub-Saharan Africa,-9999.0,-9999.0,-9999.0
SYR,Syria,Asia,Middle East & North Africa,4.0,3.0,3.0
TCD,Chad,Africa,Sub-Saharan Africa,0.0,-9999.0,4.0
TGO,Togo,Africa,Sub-Saharan Africa,0.0,3.0,3.0
THA,Thailand,Asia,East Asia & Pacific,3.0,3.0,3.0
TJK,Tajikistan,Asia,Europe & Central Asia,2.0,3.0,4.0
TKM,Turkmenistan,Asia,Europe & Central Asia,3.0,2.0,1.0
TLS,Timor-Leste,Asia,East Asia & Pacific,1.0,2.0,3.0
TON,Tonga,Oceania,East Asia & Pacific,-9999.0,-9999.0,
TTO,Trinidad and Tobago,Americas,Latin America & Caribbean,-9999.0,-9999.0,-9999.0
TUN,Tunisia,Africa,Middle East & North Africa,4.0,3.0,2.0
TUR,Turkey,Asia,Europe & Central Asia,3.0,3.0,2.0
TUV,Tuvalu,Oceania,East Asia & Pacific,-9999.0,-9999.0,-9999.0
TZA,Tanzania,Africa,Sub-Saharan Africa,1.0,2.0,3.0
UGA,Uganda,Africa,Sub-Saharan Africa,0.0,2.0,2.0
UKR,Ukraine,Europe,Europe & Central Asia,1.0,4.0,2.0
URY,Uruguay,Americas,Latin America & Caribbean,1.0,2.0,0.0
USA,United States,Americas,North America,2.0,1.0,0.0
UZB,Uzbekistan,Asia,Europe & Central Asia,3.0,3.0,2.0
VCT,Saint Vincent and the Grenadines,Americas,Latin America & Caribbean,-9999.0,-9999.0,-9999.0
VEN,Venezuela,Americas,Latin America & Caribbean,1.0,2.0,1.0
VNM,Vietnam,Asia,East Asia & Pacific,2.0,3.0,4.0
VUT,Vanuatu,Oceania,East Asia & Pacific,-9999.0,-9999.0,-9999.0
WSM,Samoa,Oceania,East Asia & Pacific,-9999.0,-9999.0,
YEM,Yemen,Asia,Middle East & North Africa,4.0,-9999.0,4.0
ZAF,South Africa,Africa,Sub-Saharan Africa,4.0,2.0,1.0
ZMB,Zambia,Africa,Sub-Saharan Africa,0.0,2.0,1.0
ZWE,Zimbabwe,Africa,Sub-Saharan Africa,2.0,2.0,1.0
